REG,RATING,DATE,ORDER
729029,89,09/12/2017,1
729029,90,03/10/2017,2
729029,87,16/12/2016,3
729029,87,11/03/2016,4
729029,73,03/07/2015,5
729029,71,24/03/2015,6
729029,56,03/09/2014,7
729029,49,24/08/2014,8
729029,78,10/02/2014,9
729029,67,19/11/2013,10
729029,68,02/03/2013,11
729029,79,01/03/2013,12
729029,78,14/12/2011,13
729029,67,24/02/2011,14
729029,78,15/04/2010,15
729029,-18,03/04/2010,16
729029,20,20/03/2010,17
729029,78,06/03/2010,18
729029,74,03/05/2009,19
729029,12,09/04/2009,20
729029,66,20/02/2009,21
729029,80,17/03/2008,22
729029,83,17/06/2004,23
729029,63,30/01/2002,24
729029,78,03/12/2001,25
729029,78,30/10/2001,26
729029,78,18/10/2001,27
729029,78,05/09/2001,28
729029,78,18/07/2001,29
1073098,59,27/09/2017,1
1073098,77,12/10/2016,2
1073098,87,10/10/2016,3
1073098,-18,01/10/2016,4
1073098,87,10/11/2015,5
1073098,77,28/10/2015,6
1073098,79,02/10/2015,7
1073098,87,17/09/2015,8
1073098,87,01/12/2014,9
1073098,78,11/11/2014,10
1073098,76,18/09/2014,11
1073098,76,29/08/2014,12
1073098,81,24/08/2014,13
1073098,71,01/07/2014,14
1073098,92,07/03/2014,15
1073098,96,14/10/2013,16
1073098,97,16/04/2013,17
1073098,98,02/10/2012,18
1073098,97,13/03/2012,19
1073098,95,09/11/2011,20
1073098,97,07/09/2011,21
1073098,95,02/05/2011,22
1073098,88,20/04/2011,23
1073098,95,08/10/2010,24
1073098,-18,02/10/2010,25
1073098,93,04/09/2010,26
1073098,95,22/10/2009,27
1073098,95,02/05/2009,28
1073098,91,06/03/2009,29
1073098,80,29/02/2008,30
1073098,74,01/11/2007,31
1073098,47,18/10/2007,32
1073098,53,27/02/2007,33
1073098,47,12/02/2007,34
1073098,53,16/11/2006,35
1073098,100,12/03/2006,36
1073098,94,08/10/2004,37
1073098,90,14/07/2004,38
1073098,89,09/03/2004,39
1073098,86,28/10/2003,40
1073098,79,04/06/2003,41
1073098,79,03/02/2003,42
1073098,80,16/04/2002,43
1073098,53,16/12/2001,44
1073098,53,04/12/2001,45
1073098,53,09/11/2001,46
1073098,53,07/11/2001,47
1073098,53,23/10/2001,48
1073098,53,12/10/2001,49
1073098,53,11/10/2001,50
1073098,54,10/10/2001,51
1073098,54,25/09/2001,52
1073098,54,15/09/2001,53
1073098,54,07/09/2001,54
1073098,54,30/08/2001,55
1073098,57,10/08/2001,56
1073098,58,02/08/2001,57
1073098,58,18/07/2001,58
1113271,59,18/10/2017,1
1113271,60,26/08/2016,2
1113271,96,06/11/2015,3
1113271,77,05/06/2015,4
1113271,96,02/09/2014,5
1113271,87,24/08/2014,6
1113271,86,10/09/2013,7
1113271,91,19/09/2012,8
1113271,86,10/07/2012,9
1113271,85,21/10/2010,10
1113271,90,17/11/2009,11
1113271,85,10/11/2009,12
1113271,73,25/06/2009,13
1113271,74,20/02/2009,14
1113271,78,17/06/2004,15
1113271,63,06/02/2004,16
1113271,60,08/01/2002,17
1113271,55,04/12/2001,18
1113271,55,07/09/2001,19
1113271,55,02/08/2001,20
1113271,55,18/07/2001,21
1370343,-23,07/10/2015,1
1370343,-26,01/10/2015,2
1370343,-25,21/09/2015,3
1370343,-18,08/09/2015,4
1370343,-19,06/08/2015,5
1370343,-18,02/07/2015,6
1370343,5,25/12/2014,7
1370343,1,23/10/2014,8
1370343,-25,12/09/2014,9
1370343,-9,11/07/2014,10
1370343,14,31/03/2014,11
1370343,12,22/03/2014,12
1370343,30,15/01/2013,13
1370343,12,10/01/2013,14
1370343,-18,05/01/2013,15
1370343,3,22/12/2012,16
1370343,12,09/05/2012,17
1370343,-19,03/05/2012,18
1370343,12,12/04/2012,19
1370343,5,16/01/2012,20
1370343,9,11/01/2012,21
1370343,-18,07/01/2012,22
1370343,9,31/12/2011,23
1370343,3,17/12/2011,24
1370343,9,29/11/2011,25
1370343,43,22/12/2010,26
1370343,4,18/12/2010,27
1370343,43,25/01/2010,28
1370343,4,02/01/2010,29
1370343,40,07/03/2009,30
1370343,83,04/02/2008,31
1370343,70,28/02/2007,32
1370343,83,17/06/2004,33
1370343,63,12/06/2004,34
1370343,83,14/01/2004,35
1370343,75,12/06/2002,36
1370343,73,11/02/2002,37
1370343,68,08/12/2001,38
1370343,68,07/09/2001,39
1370343,68,18/07/2001,40
1858007,49,29/12/2016,1
1858007,44,02/07/2016,2
1858007,-18,01/07/2016,3
1858007,44,04/07/2015,4
1858007,67,02/09/2014,5
1858007,71,24/08/2014,6
1858007,31,03/07/2014,7
1858007,26,02/07/2014,8
1858007,7,21/06/2014,9
1858007,26,04/07/2013,10
1858007,7,22/06/2013,11
1858007,26,04/07/2012,12
1858007,34,02/07/2012,13
1858007,10,16/06/2012,14
